,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
9,24,626,340,140,7,1,41,467,18,99,76.0,160,160,425,122,13,144,63.0,270,85,19,68,1394,14,0,526.0,557,36,294,424,40,121,94,10,0,26,387,53,119,158,,14,146,24.0,9,157,130,265,,29,58,48,128,0,387.0,1121,9,328,56,1169,29.0,600,440,715,415,476,983,179,10,397,669,71,145,54.0,116.0,54.0,1.0
10,33,215,151,77,71,110,41,372,102,13,188.0,292,128,247,57,609,366,263.0,9,13,57,71,562,24,594,526.0,640,3,294,45,38,57,10,100,0,108,818,13,641,231,,1363,932,136.0,29,37,102,1159,,148,261,47,213,0,40.0,479,429,256,102,427,51.0,35,404,24,1341,1263,1072,129,23,19,233,12,40,65.0,299.0,79.0,13.0
11,130,3,303,56,157,166,42,88,18,136,178.0,147,45,616,1166,947,344,1.0,10,11,64,154,199,13,71,174.0,817,95,294,22,131,15,750,10,0,19,154,588,552,137,,633,339,20.0,46,202,4,16,,1011,78,85,35,9,8.0,182,235,301,306,339,8.0,412,105,115,331,847,143,201,383,150,394,24,936,3.0,359.0,45.0,3.0
12,0,12,216,52,35,59,27,3,3,184,452.0,46,27,1136,6,24,104,18.0,103,65,683,31,12,154,52,0.0,32,3,80,41,28,14,32,8,481,164,3,74,13,36,,22,33,146.0,751,16,88,16,,0,9,52,53,0,17.0,37,469,63,29,41,114.0,15,12,24,10,23,231,77,71,138,23,1,897,46.0,43.0,43.0,
13,17,0,202,39,0,20,2,0,7,161,4.0,2,23,12,31,38,283,379.0,52,15,1,364,372,1,28,80.0,54,0,76,214,287,33,4,28,660,21,15,16,35,2,,44,49,25.0,62,11,13,21,,0,9,36,24,1,24.0,16,71,70,1,437,64.0,94,22,1,37,104,23,3,34,26,14,0,313,4.0,3.0,12.0,
14,239,0,202,422,13,26,6,112,7,11,96.0,313,31,209,12,35,166,989.0,580,18,37,112,7,0,64,216.0,20,295,49,100,58,7,278,81,432,21,0,12,151,50,,23,40,54.0,10,26,71,207,,0,4,71,125,145,42.0,31,18,7,25,2,3.0,98,0,13,2,20,17,54,0,779,24,591,38,,9.0,6.0,
15,31,317,202,4,19,2,156,10,377,8,133.0,82,8,14,0,61,21,154.0,1220,13,211,197,6,0,200,258.0,43,12,131,73,38,17,243,4,88,78,185,165,80,18,,59,1,117.0,116,8,7,49,,0,530,44,248,140,9.0,95,24,18,0,99,8.0,109,261,6,178,81,0,297,173,280,30,97,11,,110.0,35.0,
16,201,120,202,9,268,35,156,7,62,65,134.0,4,33,19,3,1,21,6.0,26,31,506,236,27,12,51,290.0,8,6,9,25,322,148,42,39,211,135,0,232,14,113,,90,69,35.0,39,23,2,15,,0,14,66,515,673,4.0,140,16,126,313,39,407.0,130,249,11,113,145,0,0,52,12,191,16,1,,20.0,65.0,
17,27,1,202,39,40,20,156,629,5,129,54.0,190,215,299,0,13,47,72.0,25,3,252,290,83,47,114,7.0,5,556,66,48,50,18,58,14,371,1048,20,13,114,84,,2,279,95.0,11,160,12,82,,0,32,26,333,9,62.0,87,27,43,182,665,9.0,16,108,0,126,61,16,13,70,62,8,671,0,,168.0,1.0,
18,80,1,30,19,1,0,18,5,168,117,21.0,47,1087,14,5,19,5,13.0,4,9,0,430,64,37,8,0.0,312,0,97,44,12,11,122,100,1,2,114,1,48,0,,52,35,39.0,22,83,2,42,,0,0,37,168,22,31.0,37,59,4,147,45,501.0,52,431,38,871,15,0,24,26,35,374,29,10,,46.0,59.0,
